"Datums","Sasniedzamais rezultāts","Uzdots","Temats","Kopsavilkums"
"3.10.2025","Leņķi, kas veidojas divām taisnēm krustojoties ar trešo taisni. Uzdevumu risināšana.
SR: Zina, kas ir kāpšļu leņķi, iekšējie šķērsleņķi, iekšējie vienpusleņķi. Lieto šo leņķu īpašības uzdevumu risināšanā. Lieto krustleņķu un blakusleņķu īpašības.","56.lpp iemācīties, kas ir attālums starp paralēlām taisnēm. 58.lpp 62.,63.,65. uzdevumi.
6.10.2025","Leņķu īpašības: krustleņķi, blakusleņķi, kāpšļu leņķi, iekšējie šķērsleņķi, iekšējie vienpusleņķi.","2.temats"
"6.10.2025","Leņķu pie paralēlām taisnēm īpašības.
SR: Zina kāpšļu leņķu, iekšējo šķērsleņķu un iekšējo vienpusleņķu īpašības pie paralēlām taisnēm Lieto šīs īpašības uzdevumu risināšanā.",,"Leņķu īpašības: krustleņķi, blakusleņķi, kāpšļu leņķi, iekšējie šķērsleņķi, iekšējie vienpusleņķi.","2.temats"
"6.10.2025","Leņķu pie paralēlām taisnēm īpašības.Uzdevumu risināšana.
SR: Zina kāpšļu leņķu, iekšējo šķērsleņķu un iekšējo vienpusleņķu īpašības pie paralēlām taisnēm Lieto šīs īpašības uzdevumu risināšanā.","60.lpp 71.,73. uzdevumi.
7.10.2025","Leņķu īpašības: krustleņķi, blakusleņķi, kāpšļu leņķi, iekšējie šķērsleņķi, iekšējie vienpusleņķi.","2.temats"
"7.10.2025","Patstāvīgais darbs: Leņķi, kas veidojas divām taisnēm krustojoties ar trešo taisni. Kopsavilkums par leņķiem.
SR: Atpazīst noteiktu leņķu pārus, zina un lieto uzdevumu risināšanā to īpašības.",,"Leņķu īpašības: krustleņķi, blakusleņķi, kāpšļu leņķi, iekšējie šķērsleņķi, iekšējie vienpusleņķi.","2.temats"
"7.10.2025","Kopsavilkums par leņķiem, to veidiem.
SR: Atpazīst krustleņķus, blakusleņķus, vienpusleņķus, šķērsleņķus, kāpšļu leņķus, zina to īpašības, lieto leņķu īpašības uzdevumu risināšanā.","https://maconis.zvaigzne.lv/produkts/592 6.94, 6.96
10.10.2025","Leņķu īpašības: krustleņķi, blakusleņķi, kāpšļu leņķi, iekšējie šķērsleņķi, iekšējie vienpusleņķi.","2.temats"
"10.10.2025","Dažādi uzdevumi par leņķiem un to veidiem.
SR: Zina leņķu veidus, prot tos saskatīt zīmējumā, zina leņķus, kas veidojas divām taisnēm krustojoties ar trešo taisni. Lieot leņķu īpašības uzdevumu risināšanā.",,"Leņķu īpašības: krustleņķi, blakusleņķi, kāpšļu leņķi, iekšējie šķērsleņķi, iekšējie vienpusleņķi.","2.temats"
"10.10.2025","Dažādi uzdevumi par leņķiem un to veidiem.
SR: Zina leņķu veidus, prot tos saskatīt zīmējumā, zina leņķus, kas veidojas divām taisnēm krustojoties ar trešo taisni. Lieot leņķu īpašības uzdevumu risināšanā.",,"Leņķu īpašības: krustleņķi, blakusleņķi, kāpšļu leņķi, iekšējie šķērsleņķi, iekšējie vienpusleņķi.","2.temats"
"13.10.2025","Leņķi.
SR: Zina un lieto uzdevumu risināšanā jēdzienus un leņķu īpašības: krustleņķi, blakusleņķi, kāpšļu leņķi, iekšējie šķērsleņķi, iekšējie vienpusleņķi. Pierāda leņķu vienādību, lietojot leņķu pie paralēlām taisnēm īpašības.",,"Leņķu īpašības: krustleņķi, blakusleņķi, kāpšļu leņķi, iekšējie šķērsleņķi, iekšējie vienpusleņķi.","2.temats"
"13.10.2025","Leņķi.
SR: Zina un lieto uzdevumu risināšanā jēdzienus un leņķu īpašības: krustleņķi, blakusleņķi, kāpšļu leņķi, iekšējie šķērsleņķi, iekšējie vienpusleņķi. Pierāda leņķu vienādību, lietojot leņķu pie paralēlām taisnēm īpašības.",,"Leņķu īpašības: krustleņķi, blakusleņķi, kāpšļu leņķi, iekšējie šķērsleņķi, iekšējie vienpusleņķi.","2.temats"
"14.10.2025","Leņķi.
SR: Zina un lieto uzdevumu risināšanā jēdzienus un leņķu īpašības: krustleņķi, blakusleņķi, kāpšļu leņķi, iekšējie šķērsleņķi, iekšējie vienpusleņķi. Pierāda leņķu vienādību, lietojot leņķu pie paralēlām taisnēm īpašības.",,"Leņķu īpašības: krustleņķi, blakusleņķi, kāpšļu leņķi, iekšējie šķērsleņķi, iekšējie vienpusleņķi.","2.temats"
